WEAP_name,SWITCH_name,load_zone_name,gen_tech,capacity_limit_mw,capacity_weight,RoR_or_Reservoir,not_generating_in_WEAP,EIA_plant_id,River,Notes
Merwin,Merwin,WA_W,Hydro_NonPumped,136,1,Reservoir,0,3847,Lewis River,
Middle Fork,Middle Fork,CA_PGE_N,Hydro_NonPumped,122.4,1,Reservoir,0,425,Middle American River,
Middle Fork RR,NA,NA,NA,NA,NA,NA,1,NA,Middle American River,NA
Middle Gorge,Middle Gorge,CA_SCE_CEN,Hydro_NonPumped,37.5,1,RoR,0,401,West Owens River,
Milner Hydro,Milner Hydro,ID_S_OR_E,Hydro_NonPumped,59.5,1,RoR,0,7190,Snake River,
Minidoka Dam and Lake Walcott,NA,NA,NA,NA,NA,NA,1,NA,Snake River,NA
Moccasin,Moccasin,CA_PGE_CEN,Hydro_NonPumped,100,1,RoR,0,381,San Joaquin Pipeline,
Mojave Siphon,NA,NA,NA,NA,NA,NA,1,NA,SWP East Branch,NA
Morony,Morony,MT_NE,Hydro_NonPumped,63,1,RoR,0,2191,Missouri River,
Morrow Point,Morrow Point,CO_SW,Hydro_NonPumped,173.2,1,Reservoir,0,514,Gunnison River,
Mossyrock,Mossyrock,WA_W,Hydro_NonPumped,300,1,Reservoir,0,3918,Cowlitz River,
Mount Elbert,Mount Elbert,CO_NW,Hydro_Pumped,200,1,RoR,0,6208,CO_Homestake Diversion,
Narrows 2,Narrows 2,CA_PGE_N,Hydro_NonPumped,46.7,1,Reservoir,0,455,Yuba River,
Navajo Dam,Navajo Dam,AZ_NM_N,Hydro_NonPumped,30,1,Reservoir,0,584,San Juan River,
New Melones,New Melones,CA_PGE_CEN,Hydro_NonPumped,300,1,Reservoir,0,6158,Stanislaus River,
Nine Mile UpRiver and Upper Falls,Nine Mile,NA,NA,NA,,RoR,0,3869,Spokane River,
North Fork,North Fork,OR_PDX,Hydro_NonPumped,40.8,1,RoR,0,3047,Oak Grove Fork Clackamas River,
Noxon Rapids,Noxon Rapids,MT_NW,Hydro_NonPumped,569.5,1,Reservoir,0,2199,Clark Fork and Pend Oreille,
Oak Grove,Oak Grove,OR_PDX,Hydro_NonPumped,51,1,RoR,0,6505,Oak Grove Fork Clackamas River,
Okanagan Lake,NA,NA,NA,NA,NA,NA,1,NA,Okanagan River,NA
Oneida,Oneida,ID_E,Hydro_NonPumped,30,1,Reservoir,0,829,Bear,
Oxbow,Oxbow (OR),ID_S_OR_E,Hydro_NonPumped,190,1,RoR,0,3014,Snake River,
Palisades Dam,Palisades Dam,ID_E,Hydro_NonPumped,176.4,1,Reservoir,0,850,Snake River,
Parker Dam,Parker Dam,CA_SCE_SE,Hydro_NonPumped,120,1,Reservoir,0,447,Colorado River,
Pelton,Pelton,OR_WA_BPA,Hydro_NonPumped,109.8,1,Reservoir,0,3048,Deschutes River,
Pilot Knob,Pilot Knob,CA_IID,Hydro_NonPumped,33,1,RoR,0,388,All American Canal,
Pine Flat,Pine Flat,CA_PGE_CEN,Hydro_NonPumped,165,1,Reservoir,0,7907,Kings River,
Pit 1,Pit 1,CA_PGE_N,Hydro_NonPumped,69.2,1,RoR,0,265,Sacramento River,
Pit 3,Pit 3,CA_PGE_N,Hydro_NonPumped,80.1,1,RoR,0,266,Sacramento River,
Pit 4,Pit 4,CA_PGE_N,Hydro_NonPumped,103.4,1,RoR,0,267,Sacramento River,
Pit 5,Pit 5,CA_PGE_N,Hydro_NonPumped,141.6,1,RoR,0,268,Sacramento River,
Pit 6,Pit 6,CA_PGE_N,Hydro_NonPumped,79.2,1,RoR,0,269,Sacramento River,
Pit 7,Pit 7,CA_PGE_N,Hydro_NonPumped,109.8,1,RoR,0,270,Sacramento River,
Poe,Poe,CA_PGE_N,Hydro_NonPumped,142.8,1,RoR,0,272,Feather River,
Pole Hill,Pole Hill,CO_DEN,Hydro_NonPumped,38.2,1,RoR,0,519,CO_CBT2,
Priest Lake,NA,NA,NA,NA,NA,NA,1,NA,Priest River,NA
Priest Rapids,Priest Rapids,WA_N_CEN,Hydro_NonPumped,955.6,1,RoR,0,3887,Columbia River,
Prospect 2,Prospect 2,OR_W,Hydro_NonPumped,32,1,RoR,0,3033,Rogue River,"SWITCH also models Prospect 1, Prospect 3, and Prospect 4 separately"
R C Kirkwood,R C Kirkwood,CA_PGE_CEN,Hydro_NonPumped,115.5,1,RoR,0,382,San Joaquin Pipeline,
Rainbow,Rainbow (MT),MT_NE,Hydro_NonPumped,59,1,RoR,0,2193,Missouri River,
Ralston,Ralston,CA_PGE_N,Hydro_NonPumped,79.2,1,RoR,0,427,Rubicon River,
Rock Creek,Rock Creek,CA_PGE_N,Hydro_NonPumped,126,1,RoR,0,275,Feather River,
Rock Island,Rock Island,WA_N_CEN,Hydro_NonPumped,567.3,1,RoR,0,6200,Columbia River,
Rocky Reach,Rocky Reach,WA_N_CEN,Hydro_NonPumped,1299.6,1,RoR,0,3883,Columbia River,
Ross,Ross,WA_W,Hydro_NonPumped,450,1,Reservoir,0,6202,Skagit,
Round Butte,Round Butte,OR_WA_BPA,Hydro_NonPumped,372.5,1,Reservoir,0,3050,Deschutes River,
Roza,Roza,OR_WA_BPA,Hydro_NonPumped,12.9,1,RoR,0,6407,Yakima River,
Ryan,Ryan,MT_NE,Hydro_NonPumped,52.8,1,RoR,0,2194,Missouri River,
Salt Springs,Salt Springs,CA_PGE_CEN,Hydro_NonPumped,42,1,Reservoir,0,279,Mokelumne River,
San Francisquito 1,NA,NA,NA,NA,NA,NA,1,NA,LA Aqueduct,NA
San Francisquito 2,NA,NA,NA,NA,NA,NA,1,NA,LA Aqueduct,NA
